id,day,time,type
0,16,8.5,2
1,16,12,5
2,16,12.5,5
3,16,15.5,6
4,16,17.5,2
5,16,21,2
6,16,21.5,2
7,16,22,4
8,16,22.5,4
9,16,23,4
10,17,9,2
11,17,17.5,2
12,17,21.5,2
13,17,23.5,2
14,18,10.5,1
15,18,11.5,2
16,18,12,3
17,18,12.5,2
18,18,13,2
19,18,15,2
20,18,15.5,3
21,18,18,3
22,18,19,3
23,18,20.5,1
24,18,22.5,5
25,18,23,2
26,18,23.5,4
27,19,17.5,3
28,20,8.5,1
29,20,9,5
30,20,9.5,3
31,20,10,2
32,20,13.5,2
33,20,20.5,6
34,20,21.5,1
35,20,22.5,1
36,20,23,1
37,20,23.5,1
38,21,9,2
39,21,12,5
40,21,15,5
41,21,22,1
42,22,1,2
43,22,2.5,1
44,22,7.5,1
45,22,11,6
46,22,15.5,5
47,22,22.5,1
48,23,5,5
49,23,12,6
50,23,16.5,2
51,23,17,2
52,23,21,2
53,24,9,2
54,24,10,3
55,24,15,2
56,24,16.5,2
57,24,17.5,6
58,25,0.5,5
59,25,11.5,1
60,25,12,1
61,25,12.5,1
62,25,16,4
63,25,16.5,2
64,25,17,2
65,25,21,4
66,26,10.5,6
67,26,12.5,2
68,26,15,6
69,26,20,5
70,26,20.5,5
71,26,21,5
72,27,11.5,1
73,27,12,1
74,27,12.5,4
75,27,18,1
76,27,18.5,5
